Date,Product,Category,Region,Sales,Quantity,Profit
02-01-2026,Laptop,Electronics,West,75000,3,12000
05-01-2026,Mouse,Accessories,North,4500,15,1800
08-01-2026,Keyboard,Accessories,South,9000,10,3200
12-01-2026,Monitor,Electronics,West,45000,5,8500
15-01-2026,Phone,Electronics,North,90000,6,15000
18-01-2026,Headphones,Accessories,East,18000,12,6500
21-01-2026,Tablet,Electronics,South,60000,4,11000
25-01-2026,Laptop,Electronics,East,50000,2,8000
02-02-2026,Mouse,Accessories,West,6000,20,2400
05-02-2026,Keyboard,Accessories,North,10800,12,3900
08-02-2026,Monitor,Electronics,South,36000,4,7000
12-02-2026,Phone,Electronics,East,75000,5,12500
16-02-2026,Headphones,Accessories,West,15000,10,5500
20-02-2026,Tablet,Electronics,North,45000,3,8500
24-02-2026,Laptop,Electronics,South,100000,4,17000
03-03-2026,Mouse,Accessories,East,7500,25,3000
07-03-2026,Keyboard,Accessories,West,13500,15,4800
11-03-2026,Monitor,Electronics,North,54000,6,10500
15-03-2026,Phone,Electronics,South,105000,7,18000
19-03-2026,Headphones,Accessories,East,21000,14,7500
23-03-2026,Tablet,Electronics,West,75000,5,14000
27-03-2026,Laptop,Electronics,North,125000,5,21000
